Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
GB,Armagh,Armagh Roadside,"54.353728,-6.654558",NO2,DEFRA,µg/m³,24.0,2021-08-06T13:00:00+02:00,United Kingdom
CN,朝阳市,八里堡,"41.5648,120.4176",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,通辽市,东方明珠社区,"43.6189,122.2922",NO2,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,济宁市,市第七中学,"35.4054,116.5907",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CN,中山市,张溪,"22.5497,113.3881",PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-06T13:00:00+02:00,China
CL,Quintero,Centro Quintero,"-32.7877756097,-71.532282799",PM2.5,Chile - SINCA,µg/m³,24.16,2021-08-06T13:00:00+02:00,Chile
US,Houma-Bayou Cane-Thibodaux,Thibodaux,"29.7639,-90.7653",PM2.5,AirNow,µg/m³,24.2,2021-08-06T13:00:00+02:00,United States
CL,Huasco,EME F,"-28.4664230019,-71.2215542793",PM2.5,Chile - SINCA,µg/m³,24.2,2021-08-06T13:00:00+02:00,Chile
IT,Perugia,IT1860A,"42.73972,12.73722",NO2,EEA Italy,µg/m³,24.4,2021-08-06T10:00:00+02:00,Italy
SE,Stockholm,SE0003A,"59.3172199995,18.04918",NO2,EEA Sweden,µg/m³,24.5025,2021-08-06T13:00:00+02:00,Sweden
IT,Oristano,IT2008A,"39.885278,8.605278",NO2,EEA Italy,µg/m³,24.5928,2021-08-06T09:00:00+02:00,Italy
IT,Savona,IT1145A,"44.312778,8.473056",NO2,EEA Italy,µg/m³,24.67,2021-08-06T02:00:00+02:00,Italy
GB,Southwark,Southwark - Vicarage Grove,"51.473580348,-0.0877818536754",NO2,London Air Quality Network,µg/m³,24.8,2021-08-06T08:00:00+02:00,United Kingdom
IE,Fingal,IE0131A,"53.385636,-6.369934",NO2,EEA Ireland,µg/m³,24.95,2021-08-06T13:00:00+02:00,Ireland
CN,佛山市,高明孔堂,"22.8678,112.8383",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,德州市,开发区人民医院,"37.4403,116.3728",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CL,Cauquenes,Cauquenes Sivica,"-35.9691150758,-72.3168182373",PM2.5,Chile - SINCA,µg/m³,25.0,2021-08-06T13:00:00+02:00,Chile
CN,中山市,中山南区,"22.478,113.3528",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,宜春市,宜春学院北校区,"27.8097,114.375",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
